time,S
0,0.20039231
1,0.19894615
2,0.19639231
3,0.19291538
4,0.18891538
5,0.18848462
6,0.18196154
7,0.17980769
8,0.17765385
9,0.17433077
10,0.1703
11,0.16648462
12,0.16426923
13,0.16116154
14,0.15722308
15,0.15439231
16,0.1519
17,0.14623846
18,0.14451538
19,0.1415
20,0.13759231
21,0.13454615
22,0.13082308
23,0.12873077
24,0.12436154
25,0.11971538
26,0.11986923
27,0.11377692
28,0.11285385
29,0.1075
30,0.10393077
31,0.10116154
32,0.09753077
33,0.09457692
34,0.09076154
35,0.0879
36,0.08380769
37,0.08116154
38,0.07762308
39,0.07571538
40,0.06934615
41,0.06623846
42,0.06260769
43,0.06125385
44,0.05746923
45,0.05454615
46,0.05319231
47,0.05048462
48,0.04602308
49,0.04251538
50,0.03900769
51,0.03737692
52,0.03417692
53,0.03193077
54,0.03073077
55,0.02688462
56,0.02460769
57,0.02263846
58,0.01993077
59,0.01854615
60,0.01673077
61,0.01473077
62,0.01208462
63,0.01159231
64,0.01196154
65,0.00826923
66,0.00799231
67,0.00823846
68,0.00765385
69,0.00445385
70,0.00482308
71,0.00574615
72,0.00266923
73,0.00386923
74,0.00196154
75,0.00460769
76,0.00239231
77,0.00313077
78,0.00211538
79,0.00048462
80,-0.0001923
81,-0.0003462
82,0.0003
83,0.00017692